Date,Time,LMP ($/MWh),SRP ($/MWh)
01/01/2024,1,46.82859,0.35
01/01/2024,2,46.14739,0.35
01/01/2024,3,45.46957,0.35
01/01/2024,4,45.14916,0.35
01/01/2024,5,44.74179,0.35
01/01/2024,6,43.1254,0.35
01/01/2024,7,44.9327,0.35
01/01/2024,8,46.22773,0.35
01/01/2024,9,38.40454,0.35
01/01/2024,10,31.17086,0.35
01/01/2024,11,28.75346,0.35
01/01/2024,12,25.68169,0.14
01/01/2024,13,24.88217,0.14
01/01/2024,14,24.66936,0.14
01/01/2024,15,25.12853,0.14
01/01/2024,16,38.48494,0.35
01/01/2024,17,49.89744,0.35
01/01/2024,18,50.86704,0.45
01/01/2024,19,51.25217,1.25
01/01/2024,20,51.38397,1.5
01/01/2024,21,51.2358,0.81
01/01/2024,22,50.57187,0.35
01/01/2024,23,50.46383,0.35
01/01/2024,24,47.54354,0.35
01/02/2024,1,45.30935,0.35
01/02/2024,2,44.67352,0.35
01/02/2024,3,44.48428,0.35
01/02/2024,4,44.73713,0.35
01/02/2024,5,45.16855,0.35
01/02/2024,6,48.92497,0.35
01/02/2024,7,57.63182,0.35
01/02/2024,8,58.85553,0.35
01/02/2024,9,45.8515,0.55917
01/02/2024,10,38.64691,0.35
01/02/2024,11,35.91572,0.35
01/02/2024,12,35.73009,0.25416
01/02/2024,13,32.36148,0.26835
01/02/2024,14,31.37993,0.14
01/02/2024,15,34.51145,0.35
01/02/2024,16,46.06582,0.35
01/02/2024,17,56.25091,0.35
01/02/2024,18,59.24936,0.76
01/02/2024,19,57.46305,1.28
01/02/2024,20,57.33224,1.5
01/02/2024,21,56.17364,0.81
01/02/2024,22,55.75465,0.35
01/02/2024,23,49.10675,0.35
01/02/2024,24,48,0.5
01/03/2024,1,50.10297,0.35
01/03/2024,2,49.84061,0.35
01/03/2024,3,46.46265,0.35
01/03/2024,4,45.49798,0.35
01/03/2024,5,44.95892,0.35
01/03/2024,6,49.66873,0.35
01/03/2024,7,53.36981,0.35
01/03/2024,8,53.74279,0.45
01/03/2024,9,49.18572,0.45
01/03/2024,10,43.25029,0.35
01/03/2024,11,39.89968,0.35
01/03/2024,12,37.47823,0.35
01/03/2024,13,31.59357,0.14
01/03/2024,14,30.37762,0.3
01/03/2024,15,32.62554,0.35
01/03/2024,16,43.51627,0.35
01/03/2024,17,55.47462,1
01/03/2024,18,57.71662,1
01/03/2024,19,55.79115,1
01/03/2024,20,55.42387,1
01/03/2024,21,54.82054,0.83
01/03/2024,22,54.28808,0.35
01/03/2024,23,50.25936,1
01/03/2024,24,48.64076,0.68
01/04/2024,1,46.66434,0.35
