Date,Time,LMP ($/MWh),SRP ($/MWh),hour_idx,day_idx
09/04/2024,2,52.97919,1.0,5928,247
09/04/2024,3,50.37751,1.0,5929,247
09/04/2024,4,48.64428,0.14,5930,247
09/04/2024,5,48.39276,0.14,5931,247
09/04/2024,6,54.29237,0.14,5932,247
09/04/2024,7,54.30101,1.0,5933,247
09/04/2024,8,35.48131,0.75,5934,247
09/04/2024,9,31.62668,0.14,5935,247
09/04/2024,10,27.81457,0.14,5936,247
09/04/2024,11,27.16913,0.14,5937,247
09/04/2024,12,31.54917,0.14,5938,247
09/04/2024,13,31.59359,0.14,5939,247
09/04/2024,14,31.69359,1.5,5940,247
09/04/2024,15,32.33574,0.45,5941,247
09/04/2024,16,44.71265,1.0,5942,247
09/04/2024,17,56.7075,5.5,5943,247
09/04/2024,18,81.81359,20.0,5944,247
09/04/2024,19,215.79579,174.27615,5945,247
09/04/2024,20,259.37018,220.65132,5946,247
09/04/2024,21,100.15642,44.92888,5947,247
09/04/2024,22,63.21635,9.86791,5948,247
09/04/2024,23,51.56844,4.67806,5949,247
09/04/2024,24,41.89279,1.5,5950,247
09/05/2024,1,41.53522,1.0,5951,247
09/05/2024,2,41.138,1.0,5952,248
09/05/2024,3,41.21017,0.14,5953,248
09/05/2024,4,41.20559,0.14,5954,248
09/05/2024,5,40.78126,0.14,5955,248
09/05/2024,6,42.59215,0.14,5956,248
09/05/2024,7,53.41578,1.0,5957,248
09/05/2024,8,44.71159,0.95338,5958,248
09/05/2024,9,35.07249,0.14,5959,248
09/05/2024,10,31.74568,0.14,5960,248
09/05/2024,11,31.43138,0.14,5961,248
09/05/2024,12,29.05489,0.14,5962,248
09/05/2024,13,25.86564,0.14,5963,248
09/05/2024,14,31.79209,0.84,5964,248
09/05/2024,15,32.39656,3.86135,5965,248
09/05/2024,16,48.14166,5.6,5966,248
09/05/2024,17,60.73405,10.33,5967,248
09/05/2024,18,145.0,145.57114,5968,248
09/05/2024,19,346.08145,337.36354,5969,248
09/05/2024,20,476.23315,459.19588,5970,248
09/05/2024,21,156.37454,129.86164,5971,248
09/05/2024,22,71.55865,42.30989,5972,248
09/05/2024,23,51.56581,14.47444,5973,248
09/05/2024,24,50.22013,6.02,5974,248
09/06/2024,1,45.68985,5.6,5975,248
09/06/2024,2,38.77457,1.5,5976,249
09/06/2024,3,38.85891,1.0,5977,249
09/06/2024,4,38.76684,0.14,5978,249
09/06/2024,5,38.95607,0.14,5979,249
09/06/2024,6,43.49745,0.14,5980,249
09/06/2024,7,46.65343,1.0,5981,249
09/06/2024,8,38.86756,0.70387,5982,249
09/06/2024,9,32.42011,0.14,5983,249
09/06/2024,10,31.27955,0.14,5984,249
09/06/2024,11,23.49836,0.14,5985,249
09/06/2024,12,31.07032,0.14,5986,249
09/06/2024,13,22.82917,0.91701,5987,249
09/06/2024,14,23.54999,1.0,5988,249
09/06/2024,15,31.4485,1.0,5989,249
09/06/2024,16,32.22533,5.4,5990,249
09/06/2024,17,41.01756,5.74,5991,249
09/06/2024,18,62.96388,42.11228,5992,249
09/06/2024,19,116.78638,111.62988,5993,249
09/06/2024,20,122.78181,106.54653,5994,249
09/06/2024,21,67.75681,36.77095,5995,249
09/06/2024,22,50.46927,16.61,5996,249
09/06/2024,23,42.23025,6.80228,5997,249
09/06/2024,24,41.65087,5.6,5998,249
09/07/2024,1,50.20506,4.35429,5999,249
09/07/2024,2,46.12199,1.0,6000,250
09/07/2024,3,40.88719,0.6,6001,250
09/07/2024,4,38.13231,0.6,6002,250
09/07/2024,5,38.60302,0.6,6003,250
09/07/2024,6,39.18281,0.6,6004,250
09/07/2024,7,38.66213,0.6,6005,250
09/07/2024,8,36.31919,0.6,6006,250
09/07/2024,9,30.91866,0.14,6007,250
09/07/2024,10,27.28427,0.14,6008,250
09/07/2024,11,23.66235,0.14,6009,250
09/07/2024,12,24.43517,0.19122,6010,250
09/07/2024,13,24.42267,0.6,6011,250
09/07/2024,14,22.75519,0.6,6012,250
09/07/2024,15,23.80029,0.6,6013,250
09/07/2024,16,28.78783,1.0,6014,250
09/07/2024,17,35.90791,3.61,6015,250
09/07/2024,18,47.83258,6.87,6016,250
09/07/2024,19,81.10855,35.70172,6017,250
09/07/2024,20,79.17395,29.4035,6018,250
09/07/2024,21,56.30451,6.29218,6019,250
09/07/2024,22,48.61865,4.58912,6020,250
09/07/2024,23,41.75194,1.72,6021,250
09/07/2024,24,36.24511,1.33792,6022,250
09/08/2024,1,44.33825,5.4,6023,250
09/08/2024,2,31.60379,1.70294,6024,251
09/08/2024,3,32.86122,1.0,6025,251
09/08/2024,4,33.22871,0.6,6026,251
09/08/2024,5,33.31585,0.6,6027,251
09/08/2024,6,32.47619,0.6,6028,251
09/08/2024,7,32.29848,0.6,6029,251
09/08/2024,8,32.12316,0.6,6030,251
09/08/2024,9,27.41411,0.14,6031,251
09/08/2024,10,21.28056,0.14,6032,251
09/08/2024,11,15.72787,0.14,6033,251
09/08/2024,12,18.36595,0.14,6034,251
09/08/2024,13,20.43514,0.14,6035,251
09/08/2024,14,21.64234,0.25006,6036,251
09/08/2024,15,19.2574,1.0,6037,251
09/08/2024,16,22.13295,1.0,6038,251
09/08/2024,17,26.51977,1.0,6039,251
09/08/2024,18,34.8171,5.6,6040,251
09/08/2024,19,64.80251,25.93286,6041,251
09/08/2024,20,65.04314,18.82314,6042,251
09/08/2024,21,53.50993,5.39,6043,251
09/08/2024,22,46.64437,5.0,6044,251
09/08/2024,23,42.05461,2.49,6045,251
09/08/2024,24,39.66768,2.95715,6046,251
09/09/2024,1,36.72864,1.0,6047,251
09/09/2024,2,38.73899,0.6,6048,252
09/09/2024,3,34.91105,0.6,6049,252
09/09/2024,4,34.53349,0.14,6050,252
09/09/2024,5,34.65832,0.14,6051,252
09/09/2024,6,38.65207,0.14,6052,252
09/09/2024,7,41.00084,0.6,6053,252
09/09/2024,8,36.45011,0.6,6054,252
09/09/2024,9,31.58516,0.14,6055,252
09/09/2024,10,30.75607,0.14,6056,252
09/09/2024,11,22.08856,0.14,6057,252
09/09/2024,12,23.37203,0.14,6058,252
09/09/2024,13,17.85663,0.6,6059,252
09/09/2024,14,22.04868,0.6,6060,252
09/09/2024,15,29.06983,1.0,6061,252
09/09/2024,16,31.91017,1.5,6062,252
09/09/2024,17,37.14686,2.46,6063,252
09/09/2024,18,41.21823,8.85843,6064,252
09/09/2024,19,64.01981,47.54111,6065,252
09/09/2024,20,64.52668,41.99334,6066,252
09/09/2024,21,49.25363,10.95157,6067,252
09/09/2024,22,38.55217,6.29359,6068,252
09/09/2024,23,40.18157,3.54325,6069,252
09/09/2024,24,39.07144,1.2902,6070,252
09/10/2024,1,35.20885,1.0,6071,252
09/10/2024,2,34.86634,0.75,6072,253
09/10/2024,3,34.42627,0.26464,6073,253
09/10/2024,4,33.98714,0.14,6074,253
09/10/2024,5,34.33867,0.14,6075,253
09/10/2024,6,37.71351,0.45,6076,253
09/10/2024,7,39.69247,0.75,6077,253
09/10/2024,8,34.2975,0.75,6078,253
09/10/2024,9,27.67328,0.14,6079,253
09/10/2024,10,24.85844,0.14,6080,253
09/10/2024,11,21.51186,0.14,6081,253
09/10/2024,12,20.43199,0.14,6082,253
09/10/2024,13,21.58606,0.14,6083,253
09/10/2024,14,24.18672,0.14,6084,253
09/10/2024,15,24.7734,0.14,6085,253
09/10/2024,16,29.83453,0.14,6086,253
09/10/2024,17,30.23571,0.59897,6087,253
09/10/2024,18,33.00714,1.50808,6088,253
09/10/2024,19,48.49998,10.81,6089,253
09/10/2024,20,51.19523,10.77,6090,253
09/10/2024,21,41.66096,2.05589,6091,253
09/10/2024,22,39.60838,2.65003,6092,253
09/10/2024,23,39.24566,1.0,6093,253
