Date,Time,LMP ($/MWh),SRP ($/MWh),hour_idx,day_idx
08/05/2024,2,45.93914,0.22,5208,217
08/05/2024,3,43.59588,0.14,5209,217
08/05/2024,4,43.217,0.14,5210,217
08/05/2024,5,43.55607,0.14,5211,217
08/05/2024,6,47.81297,0.14,5212,217
08/05/2024,7,51.90559,1.0,5213,217
08/05/2024,8,42.18203,0.14,5214,217
08/05/2024,9,39.26965,0.14,5215,217
08/05/2024,10,35.61398,0.14,5216,217
08/05/2024,11,35.90005,0.14,5217,217
08/05/2024,12,35.89697,0.14,5218,217
08/05/2024,13,36.11643,0.22,5219,217
08/05/2024,14,36.78404,1.0,5220,217
08/05/2024,15,47.99537,1.0,5221,217
08/05/2024,16,51.49876,1.0,5222,217
08/05/2024,17,64.71198,7.61826,5223,217
08/05/2024,18,90.73197,25.60747,5224,217
08/05/2024,19,114.11773,79.76635,5225,217
08/05/2024,20,222.4155,191.78019,5226,217
08/05/2024,21,109.49496,54.09317,5227,217
08/05/2024,22,73.61626,24.37251,5228,217
08/05/2024,23,59.92828,5.62436,5229,217
08/05/2024,24,54.55861,4.72183,5230,217
08/06/2024,1,45.06383,1.0,5231,217
08/06/2024,2,42.49279,1.0,5232,218
08/06/2024,3,41.62077,0.14,5233,218
08/06/2024,4,41.51393,0.14,5234,218
08/06/2024,5,41.91145,0.14,5235,218
08/06/2024,6,45.84488,0.14,5236,218
08/06/2024,7,46.26604,0.1991,5237,218
08/06/2024,8,40.68717,0.14,5238,218
08/06/2024,9,38.52862,0.14,5239,218
08/06/2024,10,37.59888,0.14,5240,218
08/06/2024,11,37.41269,0.14,5241,218
08/06/2024,12,37.27719,0.14,5242,218
08/06/2024,13,37.64005,0.14,5243,218
08/06/2024,14,39.64641,1.0,5244,218
08/06/2024,15,45.07189,1.0,5245,218
08/06/2024,16,56.92214,1.0,5246,218
08/06/2024,17,69.37581,5.6,5247,218
08/06/2024,18,92.7302,27.91871,5248,218
08/06/2024,19,170.76366,117.53965,5249,218
08/06/2024,20,318.8193,250.0,5250,218
08/06/2024,21,135.3942,69.41901,5251,218
08/06/2024,22,83.14666,21.39,5252,218
08/06/2024,23,61.67061,5.6,5253,218
08/06/2024,24,50.83568,1.0,5254,218
08/07/2024,1,42.53244,1.0,5255,218
08/07/2024,2,40.9681,1.0,5256,219
08/07/2024,3,40.46161,0.14,5257,219
08/07/2024,4,40.1894,0.14,5258,219
08/07/2024,5,40.27964,0.14,5259,219
08/07/2024,6,41.18033,0.55887,5260,219
08/07/2024,7,44.2377,1.0,5261,219
08/07/2024,8,38.62765,1.0,5262,219
08/07/2024,9,33.40149,0.14,5263,219
08/07/2024,10,32.7977,0.14,5264,219
08/07/2024,11,33.24543,0.14,5265,219
08/07/2024,12,33.39832,0.14,5266,219
08/07/2024,13,34.08295,0.31363,5267,219
08/07/2024,14,37.75624,1.0,5268,219
08/07/2024,15,40.10791,1.0,5269,219
08/07/2024,16,45.93841,1.0,5270,219
08/07/2024,17,48.61,4.16,5271,219
08/07/2024,18,56.85,7.14,5272,219
08/07/2024,19,71.53529,19.02885,5273,219
08/07/2024,20,114.25,54.70265,5274,219
08/07/2024,21,74.26015,19.53024,5275,219
08/07/2024,22,60.14252,7.53781,5276,219
08/07/2024,23,51.44309,1.5,5277,219
