mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1013.0785,768.3985190132544,309.67382656557436,240.2214801237557,0.0,,,5.0,0,0,0,1,Day_1,0,0,0
idle,0.0,0.0,0.0,1013.0070071499999,768.351494161353,309.6726741829178,240.22727297574335,0.0,,,5.0,0,0,0,1,Day_1,1,1,1
idle,0.0,0.0,0.0,1012.9355214492849,768.3044740119368,309.67152191549945,240.2330652484458,0.0,,,5.0,0,0,0,1,Day_1,2,2,2
idle,0.0,0.0,0.0,1012.8640428971399,768.2574585645356,309.6703697633079,240.23885694192097,0.0,,,5.0,0,0,0,1,Day_1,3,3,3
idle,0.0,0.0,0.0,1012.7925714928502,768.2104478186791,309.66921772633157,240.2446480562268,0.0,,,5.0,0,0,0,1,Day_1,4,4,4
idle,0.0,0.0,0.0,1012.721107235701,768.1634417738973,309.6680658045589,240.2504385914212,0.0,,,5.0,0,0,0,1,Day_1,5,5,5
idle,0.0,0.0,0.0,1012.6496501249774,768.1164404297199,309.66691399797844,240.25622854756207,0.0,,,5.0,0,0,0,1,Day_1,6,6,6
idle,0.0,0.0,0.0,1012.5782001599649,768.0694437856769,309.66576230657864,240.26201792470732,0.0,,,5.0,0,0,0,1,Day_1,7,7,7
char,1.0,1.0000000000000002,-284.90969002650723,1012.5200578198367,768.0224518412983,309.664610730348,240.25983735599092,-10146.768002410228,0.87,0.93,6.0,0,0,0,1,Day_1,8,8,8
char,1.0,1.0000000000000002,-284.88697528659924,1012.4595457555342,767.9754645961142,309.66345926927494,240.25908037399986,-10227.456657137676,0.87,0.93,7.0,0,0,0,1,Day_1,9,9,9
char,1.0,1.0000000000000002,-284.8642628181657,1012.3975550428426,767.9284820496546,309.662307923348,240.2592130659892,-10225.76389645581,0.87,0.93,8.0,0,0,0,1,Day_1,10,10,10
char,1.0,1.0000000000000002,-284.84155262097863,1012.3345807235801,767.8815042014496,309.66115669255566,240.25993881377315,-10287.459996326892,0.87,0.93,9.0,0,0,0,1,Day_1,11,11,11
char,1.0,1.0000000000000002,-284.81884469481156,1012.2709198225822,767.8345310510294,309.6600055768864,240.2610796464455,-10476.787776007735,0.87,0.93,10.0,0,0,0,1,Day_1,12,12,12
idle,0.0,0.0,0.0,1012.1995077306,767.7875625979243,309.65885457632874,240.26686853848088,0.0,,,10.0,0,0,0,1,Day_1,13,13,13
idle,0.0,0.0,0.0,1012.1281027798269,767.7405988416646,309.6577036908711,240.27265685162703,0.0,,,10.0,0,0,0,1,Day_1,14,14,14
dis,1.0,0.9996400150023461,199.5681178355946,1012.056704969549,767.7229600846313,309.6645310756441,240.27844458594188,12914.44805001464,0.8699998361555599,0.9299997352516228,9.0,0,0,0,1,Day_1,15,15,15
dis,1.0,0.9996079999468249,199.5357923461111,1011.985314299052,767.6767745820106,309.66373861819824,240.2842317414833,18104.275525073583,0.869999821698236,0.9299996868964868,8.0,0,0,0,1,Day_1,16,16,16
dis,1.0,0.9995759860266391,199.50346979664275,1011.9139307676221,767.6305939199157,309.6629462155975,240.29001831830917,22766.88310031643,0.8699998066179988,0.9299996344258082,7.0,0,0,0,1,Day_1,17,17,17
dis,1.0,0.9995439732430634,199.47115018692543,1011.8425543745453,767.5844180978291,309.66215386783904,240.29580431647736,44365.47560440011,0.8699997909162066,0.9299995778378544,6.0,0,0,0,1,Day_1,18,18,18
dis,1.0,0.9995119615989962,199.4388335169651,1011.7711851191078,767.5382471151484,309.6613615749226,240.3015897360457,21837.547098386756,0.8699997745942034,0.9299995171309012,5.0,0,0,0,1,Day_1,19,19,19
dis,1.0,0.9994783322644608,199.40624952275618,1011.6998230005959,767.4921514104159,309.6605669720962,240.30737457707212,14679.542310492094,0.8699997732724234,0.9299994398230166,4.0,0,0,0,1,Day_1,20,20,20
dis,1.0,0.999447564213624,199.3741459432673,1011.6284680182958,767.4459941217876,309.6597746540072,240.31315883961443,11948.149642848988,0.8699997439158413,0.929999380272136,3.0,0,0,0,1,Day_1,21,21,21
idle,0.0,0.0,0.0,1011.557120171494,767.3990645223754,309.6586236765418,240.3189425237305,0.0,,,3.0,0,0,0,1,Day_1,22,22,22
idle,0.0,0.0,0.0,1011.4857794594769,767.3521396159232,309.6574728141742,240.32472562947814,0.0,,,3.0,0,0,0,1,Day_1,23,23,23
idle,0.0,0.0,0.0,1011.4144458815309,767.3052194019616,309.65632206689276,240.33050815691522,0.0,,,3.0,0,0,0,2,Day_2,24,24,0
idle,0.0,0.0,0.0,1011.3431194369427,767.2583038800215,309.65517143468605,240.33629010609954,0.0,,,3.0,0,0,0,2,Day_2,25,25,1
idle,0.0,0.0,0.0,1011.271800124999,767.2113930496334,309.6540209175426,240.34207147708895,0.0,,,3.0,0,0,0,2,Day_2,26,26,2
idle,0.0,0.0,0.0,1011.2004879449865,767.1644869103285,309.65287051545084,240.34785226994126,0.0,,,3.0,0,0,0,2,Day_2,27,27,3
idle,0.0,0.0,0.0,1011.129182896192,767.1175854616374,309.6517202283993,240.35363248471427,0.0,,,3.0,0,0,0,2,Day_2,28,28,4
idle,0.0,0.0,0.0,1011.0578849779024,767.0706887030913,309.65057005637647,240.35941212146582,0.0,,,3.0,0,0,0,2,Day_2,29,29,5
idle,0.0,0.0,0.0,1010.9865941894046,767.023796634221,309.6494199993708,240.3651911802537,0.0,,,3.0,0,0,0,2,Day_2,30,30,6
char,1.0,1.001575312711625,-285.3176473563892,1011.1796996062274,766.9769092545575,309.6482700573709,240.29888380592757,-10992.895214288324,0.8699963761267179,0.9299954301197118,4.0,0,0,0,2,Day_2,31,31,7
char,1.0,1.0016273804588995,-285.325174131667,1011.274003962184,766.930026563632,309.64712023036515,240.25933976771773,-10727.906983155652,0.8699961313207958,0.9299951228165438,5.0,0,0,0,2,Day_2,32,32,8
