metric,value
total_reward,369963.04411803064
total_reward_potential,446257.599145389
avg_daily_reward,52851.86344543295
charge_hours,44.0
discharge_hours,44.0
idle_hours,80.0
avg_charge_power,322.05018150953526
avg_discharge_power,224.852914401589
avg_charge_power_per_mflow,329.5891819786829
avg_discharge_power_per_mflow,230.18347464116113
violation_penalty,0.0
profit_without_penalty,369963.04411803064
total_violations,0.0
max_t_hh,1013.0785
min_t_lh,764.3177029554801
max_t_hc,309.67382656557436
min_t_lc,239.81839491972457
