mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1013.0785,768.3985190132544,309.67382656557436,240.2214801237557,0.0,,,4.331254331254331,0,0,0,1,Day_1,0,0,0
idle,0.0,0.0,0.0,1013.0070071499999,768.351494161353,309.6726741829178,240.22727297574335,0.0,,,4.331254331254331,0,0,0,1,Day_1,1,1,1
idle,0.0,0.0,0.0,1012.9355214492849,768.3044740119368,309.67152191549945,240.2330652484458,0.0,,,4.331254331254331,0,0,0,1,Day_1,2,2,2
idle,0.0,0.0,0.0,1012.8640428971399,768.2574585645356,309.6703697633079,240.23885694192097,0.0,,,4.331254331254331,0,0,0,1,Day_1,3,3,3
idle,0.0,0.0,0.0,1012.7925714928502,768.2104478186791,309.66921772633157,240.2446480562268,0.0,,,4.331254331254331,0,0,0,1,Day_1,4,4,4
idle,0.0,0.0,0.0,1012.721107235701,768.1634417738973,309.6680658045589,240.2504385914212,0.0,,,4.331254331254331,0,0,0,1,Day_1,5,5,5
idle,0.0,0.0,0.0,1012.6496501249774,768.1164404297199,309.66691399797844,240.25622854756207,0.0,,,4.331254331254331,0,0,0,1,Day_1,6,6,6
idle,0.0,0.0,0.0,1012.5782001599649,768.0694437856769,309.66576230657864,240.26201792470732,0.0,,,4.331254331254331,0,0,0,1,Day_1,7,7,7
char,1.0,1.0000000000000002,-328.8997461666,1012.521726214883,768.0224518412983,309.664610730348,240.25883768888036,-11713.428981982368,0.87,0.93,5.331254331254331,0,0,0,1,Day_1,8,8,8
char,1.0,1.0000000000000002,-328.87352427085017,1012.4621044516947,767.9754645961142,309.66345926927494,240.257547256842,-11806.575964999734,0.87,0.93,6.331254331254331,0,0,0,1,Day_1,9,9,9
char,1.0,1.0000000000000002,-328.84730499729045,1012.4006256302246,767.9284820496546,309.662307923348,240.25737323389993,-11804.621842068587,0.87,0.93,7.331254331254331,0,0,0,1,Day_1,10,10,10
