mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1010.673516067152,766.669010954328,309.44230837225007,240.21371832713197,0.0,,,0.0,0,0,0,3,Day_3,48,48,0
idle,0.0,0.0,0.0,1010.6022637155453,766.6221590532325,309.4411791414128,240.21951195529928,0.0,,,0.0,0,0,0,3,Day_3,49,49,1
idle,0.0,0.0,0.0,1010.5310184891738,766.5753118373271,309.44005002349866,240.22530500410377,0.0,,,0.0,0,0,0,3,Day_3,50,50,2
idle,0.0,0.0,0.0,1010.4597803873248,766.5284693061434,309.4389210184963,240.23109747360337,0.0,,,0.0,0,0,0,3,Day_3,51,51,3
idle,0.0,0.0,0.0,1010.388549409286,766.4816314592127,309.4377921263944,240.23688936385602,0.0,,,0.0,0,0,0,3,Day_3,52,52,4
idle,0.0,0.0,0.0,1010.3173255543451,766.4347982960668,309.43666334718176,240.24268067491965,0.0,,,0.0,0,0,0,3,Day_3,53,53,5
idle,0.0,0.0,0.0,1010.2461088217897,766.3879698162372,309.435534680847,240.2484714068522,0.0,,,0.0,0,0,0,3,Day_3,54,54,6
char,1.0,1.0022769603950703,-329.48988555855595,1011.4713280677678,766.3411460192556,309.4344061273789,240.00176170886445,-11005.453117585252,0.8699921263186613,0.9299904433449786,1.0,0,0,0,3,Day_3,55,55,7
char,1.0,1.0023290709736825,-329.4986383499524,1011.4174904588696,766.2943269046536,309.43327768676613,240.0023736226554,-10806.797491010233,0.8699917653889142,0.9299900002477515,2.0,0,0,0,3,Day_3,56,56,8
char,1.0,1.002381184963445,-329.5073958713839,1011.3636586566672,766.2475124719632,309.43214935899744,240.0029857352236,-10954.615063924382,0.8699913962062428,0.9299895470307111,3.0,0,0,0,3,Day_3,57,57,9
char,1.0,1.0024333023855485,-329.51615814501065,1011.3098326641654,766.200702720716,309.4310211440615,240.00359804624725,-11005.286094897672,0.8699910187582434,0.9299890836875195,4.0,0,0,0,3,Day_3,58,58,10
char,1.0,1.002485423278437,-329.5249252052813,1011.2560124860939,766.1538976504439,309.4298930419471,240.00421055512274,-11231.181549525341,0.8699906330311888,0.9299886102109343,5.0,0,0,0,3,Day_3,59,59,11
idle,0.0,0.0,0.0,1011.1847018848454,766.1070972606789,309.42876505264286,240.01002513406723,0.0,,,5.0,0,0,0,3,Day_3,60,60,12
idle,0.0,0.0,0.0,1011.1133984146569,766.0603015509528,309.4276371761376,240.01583913155383,0.0,,,5.0,0,0,0,3,Day_3,61,61,13
idle,0.0,0.0,0.0,1011.0421020748154,766.0135105207977,309.42650941241993,240.02165254764068,0.0,,,5.0,0,0,0,3,Day_3,62,62,14
idle,0.0,0.0,0.0,1010.9708128646079,765.9667241697456,309.42538176147866,240.02746538238594,0.0,,,5.0,0,0,0,3,Day_3,63,63,15
dis,1.0,1.000325841141024,230.2254662554031,1010.8995307833214,766.0816206918952,309.46544136506304,240.03327763584772,13088.317756619666,0.8699960705530921,0.9299995176577621,4.0,0,0,0,3,Day_3,64,64,16
dis,1.0,1.0002939352985614,230.1882050718115,1010.828255830243,766.1396515980551,309.4910742534571,240.03908930808416,16466.580004391508,0.8699959953747266,0.9299995262009172,3.0,0,0,0,3,Day_3,65,65,17
dis,1.0,1.0002620311715325,230.15094745643785,1010.75698800466,766.1664245298524,309.50877652539407,240.04490039915336,26294.745746898025,0.8699959193765806,0.9299995309008552,2.0,0,0,0,3,Day_3,66,66,18
dis,1.0,1.000230128753267,230.1136934078603,1010.6857273058596,766.1741793702189,309.52165317153026,240.05071090911346,17088.277389521714,0.8699958425594944,0.9299995317572244,1.0,0,0,0,3,Day_3,67,67,19
dis,1.0,1.0001982280455053,230.07644292618448,1010.614473733129,766.1273769522819,309.5205160062131,240.05652083802258,13837.377070216908,0.8699957649239661,0.9299995287696341,0.0,0,0,0,3,Day_3,68,68,20
idle,0.0,0.0,0.0,1010.5432272857556,766.0805792145867,309.5193789546125,240.0623301859388,0.0,,,0.0,0,0,0,3,Day_3,69,69,21
idle,0.0,0.0,0.0,1010.471987963027,766.0337861566652,309.518242016717,240.06813895292024,0.0,,,0.0,0,0,0,3,Day_3,70,70,22
idle,0.0,0.0,0.0,1010.4007557642307,765.9869977780495,309.5171051925153,240.07394713902497,0.0,,,0.0,0,0,0,3,Day_3,71,71,23
