hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,t_hh,t_lh,t_hc,t_lc,mode,eff_com,eff_exp,power_milp,power_physical,power_mismatch
0,1,0,0,0.0,5.0,0,0,1013.0785,768.3985190132544,309.67382656557436,240.2214801237557,idle,,,0,0,0
1,1,0,0,0.0,5.0,0,0,1013.0070071499999,768.351494161353,309.6726741829178,240.22727297574335,idle,,,0,0,0
2,1,0,0,0.0,5.0,0,0,1012.9355214492849,768.3044740119368,309.67152191549945,240.2330652484458,idle,,,0,0,0
3,1,0,0,0.0,5.0,0,0,1012.8640428971399,768.2574585645356,309.6703697633079,240.23885694192097,idle,,,0,0,0
4,1,0,0,0.0,5.0,0,0,1012.7925714928502,768.2104478186791,309.66921772633157,240.2446480562268,idle,,,0,0,0
5,1,0,0,0.0,5.0,0,0,1012.721107235701,768.1634417738973,309.6680658045589,240.2504385914212,idle,,,0,0,0
6,1,0,0,0.0,5.0,0,0,1012.6496501249774,768.1164404297199,309.66691399797844,240.25622854756207,idle,,,0,0,0
7,1,0,0,0.0,5.0,0,0,1012.5782001599649,768.0694437856769,309.66576230657864,240.26201792470732,idle,,,0,0,0
8,1,0,0,0.0,5.0,0,0,1012.5067573399489,768.0224518412983,309.664610730348,240.26780672291486,idle,,,0,0,0
9,1,0,0,0.0,5.0,0,0,1012.4353216642148,767.9754645961142,309.66345926927494,240.27359494224257,idle,,,0,0,0
10,1,0,0,0.0,5.0,0,0,1012.3638931320484,767.9284820496546,309.662307923348,240.27938258274835,idle,,,0,0,0
11,1,0,0,0.0,5.0,0,0,1012.2924717427352,767.8815042014496,309.66115669255566,240.28516964449008,idle,,,0,0,0
12,1,0,0,0.0,5.0,0,0,1012.2210574955609,767.8345310510294,309.6600055768864,240.29095612752565,idle,,,0,0,0
13,1,0,0,0.0,5.0,0,0,1012.1496503898113,767.7875625979243,309.65885457632874,240.2967420319129,idle,,,0,0,0
14,1,0,0,0.0,5.0,0,0,1012.0782504247724,767.7405988416646,309.6577036908711,240.30252735770975,idle,,,0,0,0
15,1,0,0,0.0,5.0,0,0,1012.0068575997299,767.6936397817803,309.65655292050195,240.308312104974,idle,,,0,0,0
16,1,0,0,0.0,5.0,0,0,1011.9354719139699,767.6466854178021,309.6554022652099,240.3140962737635,idle,,,0,0,0
17,1,0,0,0.0,5.0,0,0,1011.8640933667784,767.5997357492604,309.65425172498334,240.31987986413614,idle,,,0,0,0
18,1,0,0,0.0,5.0,0,0,1011.7927219574417,767.5527907756855,309.6531012998108,240.32566287614975,idle,,,0,0,0
19,1,0,0,0.0,5.0,0,0,1011.721357685246,767.5058504966079,309.6519509896808,240.33144530986215,idle,,,0,0,0
20,1,0,0,0.0,5.0,0,0,1011.6500005494775,767.4589149115582,309.6508007945818,240.33722716533117,idle,,,0,0,0
21,1,0,0,0.0,5.0,0,0,1011.5786505494225,767.411984020067,309.64965071450234,240.34300844261466,idle,,,0,0,0
22,1,0,0,0.0,5.0,0,0,1011.5073076843676,767.365057821665,309.64850074943087,240.34878914177042,idle,,,0,0,0
23,1,0,0,0.0,5.0,0,0,1011.4359719535992,767.3181363158828,309.6473508993559,240.35456926285627,idle,,,0,0,0
24,2,0,0,0.0,5.0,0,0,1011.3646433564038,767.2712195022513,309.64620116426596,240.36034880593002,idle,,,0,0,0
25,2,0,0,0.0,5.0,0,0,1011.2933218920682,767.2243073803011,309.6450515441495,240.36612777104943,idle,,,0,0,0
26,2,0,0,0.0,5.0,0,0,1011.222007559879,767.177399949563,309.64390203899507,240.37190615827234,idle,,,0,0,0
