hour,day,total_cost,marginal_price,cost_NGCC 1,cost_NGCC 2,cost_NGCT 1,cost_NGCT 2,cost_Coal,cost_Hydro,cost_Wind,cost_PV
0,1,13237.486774425552,29.626841469999988,0,0,0,0,12637.486774425552,600.0,0.0,0
1,1,11586.248319822993,29.064152600694552,0,0,0,0,10986.248319822993,600.0,0.0,0
2,1,10312.039326092334,28.62238261434304,0,0,0,0,9712.039326092334,600.0,0.0,0
3,1,10133.02583853113,28.559770950948163,0,0,0,0,9533.02583853113,600.0,0.0,0
4,1,10533.758798606148,28.699741740512632,0,0,0,0,9933.758798606148,600.0,0.0,0
5,1,10379.698089777592,28.646011272000013,0,0,0,0,9779.698089777592,600.0,0.0,0.0
6,1,730.287053719283,25.052060615334334,0,0,0,0,130.28705371928297,600.0,0.0,0.0
7,1,602.1535177582174,1.5,0,0,0,0,2.1535177582173994,600.0,0.0,0.0
8,1,500.3716627771166,1.5,0,0,0,0,0.0,500.3716627771166,0.0,0.0
9,1,519.2850992964767,1.5,0,0,0,0,0.0,519.2850992964767,0.0,0.0
10,1,578.2142495230144,1.5,0,0,0,0,0.0,578.2142495230144,0.0,0.0
11,1,537.7560568063897,1.5,0,0,0,0,0.0,537.7560568063897,0.0,0.0
12,1,491.1003201962607,1.5,0,0,0,0,0.0,491.1003201962607,0.0,0.0
13,1,599.6043366844456,1.5,0,0,0,0,0.0,599.6043366844456,0.0,0.0
14,1,520.0338006941314,1.5,0,0,0,0,0.0,520.0338006941314,0.0,0.0
15,1,364.3159691514499,1.5,0,0,0,0,0.0,364.3159691514499,0.0,0.0
16,1,2912.7915691128346,25.908605353863738,0,0,0,0,2312.7915691128346,600.0,0.0,0.0
17,1,15398.360568686754,30.347441595194397,0,0,0,0,14798.360568686754,600.0,0.0,0.0
18,1,12267.642427353281,29.29765943803473,0,0,0,0,11667.642427353281,600.0,0.0,0
19,1,13133.833740367889,29.591834596850493,0,0,0,0,12533.833740367889,600.0,0.0,0
20,1,12545.732100514882,29.392424908644365,0,0,0,0,11945.732100514882,600.0,0.0,0
21,1,9782.582316920068,28.436800916038383,0,0,0,0,9182.582316920068,600.0,0.0,0
22,1,5576.124483032902,26.916955430743982,0,0,0,0,4976.124483032902,600.0,0.0,0
23,1,2916.5792149142494,25.910067238397605,0,0,0,0,2316.5792149142494,600.0,0.0,0
24,2,2734.3386437588238,25.83963569548101,0,0,0,0,2134.3386437588238,600.0,0.0,0
25,2,2648.07856642383,25.80623125,0,0,0,0,2048.07856642383,600.0,0.0,0
26,2,2738.448690153456,25.841226244183325,0,0,0,0,2138.448690153456,600.0,0.0,0
27,2,2735.148821105825,25.839949234124212,0,0,0,0,2135.148821105825,600.0,0.0,0
28,2,2735.390813572997,25.840042884474087,0,0,0,0,2135.390813572997,600.0,0.0,0
29,2,3252.9733090312493,26.039575,0,0,0,0,2652.9733090312493,600.0,0.0,0.0
30,2,562.6684472842045,1.5,0,0,0,0,0.0,562.6684472842045,0.0,0.0
31,2,369.2061153615714,1.5,0,0,0,0,0.0,369.2061153615714,0.0,0.0
32,2,353.47758034905803,1.5,0,0,0,0,0.0,353.47758034905803,0.0,0.0
33,2,540.3047665363583,1.5,0,0,0,0,0.0,540.3047665363583,0.0,0.0
34,2,605.0780956955201,25.002031155766332,0,0,0,0,5.07809569552007,600.0,0.0,0.0
