hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
0,1,1729.798967,0.0,0.0,0.0,0.0,462.6841469999988,400.0,667.11482,0.0,0,200.00000000000003,200.00000000000003
1,1,1619.461092,0.0,0.0,0.0,0.0,406.41526006945514,400.0,613.072878,0.0,0,199.97295393054395,199.97295393054395
2,1,1539.19394,0.0,0.0,0.0,0.0,362.2382614343039,400.0,577.009768,0.0,0,199.945910565695,199.945910565695
3,1,1480.840935,0.0,0.0,0.0,0.0,355.9770950948164,400.0,524.94497,0.0,0,199.91886990518242,199.91886990518242
4,1,1442.271664,0.0,0.0,0.0,0.0,369.97417405126305,400.0,472.405658,0.0,0,199.89183194873587,199.89183194873587
5,1,1432.063239,0.0,0.0,0.0,0.0,364.6011272000014,400.0,462.335402,205.12670980000001,0,0.0,0.0
6,1,1994.321497,0.0,0.0,0.0,0.0,5.206061533433339,400.0,434.022698,1183.5753701,28.482632633435376,0.0,-28.482632633435376
7,1,2305.690025,0.0,0.0,0.0,0.0,0.08613922633543325,400.0,331.263922,1756.0110702000002,181.6711064263379,0.0,-181.6711064263379
8,1,2418.139828,0.0,0.0,0.0,0.0,0.0,333.58110851807777,437.001594,1932.4646206999998,284.9074952180778,0.0,-284.9074952180778
9,1,2545.909201,0.0,0.0,0.0,0.0,0.0,346.1900661976511,481.105092,2003.4988234999998,284.884780697651,0.0,-284.884780697651
10,1,2644.934163,0.0,0.0,0.0,0.0,0.0,385.4761663486762,552.994056,1991.3260090999997,284.86206844867604,0.0,-284.86206844867604
11,1,2637.683362,0.0,0.0,0.0,0.0,0.0,358.5040378709264,610.6739419999999,1953.3447406,284.83935847092613,0.0,-284.83935847092613
12,1,2588.378839,0.0,0.0,0.0,0.0,0.0,327.4002134641738,648.081512,1897.7137642999999,284.8166507641737,0.0,-284.8166507641737
13,1,2705.662509,0.0,0.0,0.0,0.0,0.0,399.73622445629707,716.938854,1832.8965788,243.90914825629736,0.0,-243.90914825629736
14,1,2636.038183,0.0,0.0,0.0,0.0,0.0,346.6892004627543,814.50433,1759.6158947000001,284.7712421627543,0.0,-284.7712421627543
15,1,2461.321144,0.0,0.0,0.0,0.0,0.0,242.87731276763327,1000.2504379999999,1502.9419344999997,284.74854126763296,0.0,-284.74854126763296
16,1,2520.006882,0.0,0.0,0.0,0.0,90.86053538637368,400.0,1135.3289300000001,737.6219968,0,156.1954198136263,156.1954198136263
17,1,2519.470812,0.0,0.0,0.0,0.0,534.7441595194398,400.0,1337.155812,47.7856947,0,199.78514578055857,199.78514578055857
18,1,2469.754995,0.0,0.0,0.0,0.0,429.7659438034732,400.0,1440.23093,0.0,0,199.75812119652466,199.75812119652466
19,1,2476.026083,0.0,0.0,0.0,0.0,459.18345968504934,400.0,1417.1115240000001,0.0,0,199.7310993149489,199.7310993149489
20,1,2408.527549,0.0,0.0,0.0,0.0,439.2424908644364,400.0,1369.580978,0.0,0,199.7040801355615,199.7040801355615
21,1,2242.928311,0.0,0.0,0.0,0.0,343.68009160383826,400.0,1299.56371,0.0,0,199.6845093961601,199.6845093961601
22,1,2045.964392,0.0,0.0,0.0,0.0,191.6955430743984,400.0,1254.616632,0.0,0,199.6522169255998,199.6522169255998
23,1,1855.257696,0.0,0.0,0.0,0.0,91.00672383976068,400.0,1210.3549639999999,0.0,0,153.89600816023935,153.89600816023935
24,2,1705.149016,0.0,0.0,0.0,0.0,83.96356954810119,400.0,1181.778638,0.0,0,39.40680845189888,39.40680845189888
25,2,1608.966147,0.0,0.0,0.0,0.0,80.62312500000007,400.0,1128.343022,0.0,0,0.0,0.0
26,2,1553.062425,0.0,0.0,0.0,0.0,84.12262441833266,400.0,1048.413672,0.0,0,20.5261285816675,20.5261285816675
27,2,1512.561456,0.0,0.0,0.0,0.0,83.99492341242129,400.0,990.417442,0.0,0,38.14909058757856,38.14909058757856
28,2,1510.509604,0.0,0.0,0.0,0.0,84.0042884474088,400.0,912.175254,0.0,0,114.33006155259149,114.33006155259149
29,2,1597.334365,0.0,0.0,0.0,0.0,103.95749999999998,400.0,872.2896639999999,221.087201,0,0.0,0.0
30,2,2210.643993,0.0,0.0,0.0,0.0,0.0,375.11229818946964,822.0174779999998,1298.7817353,285.2675184894693,0.0,-285.2675184894693
31,2,2708.809607,0.0,0.0,0.0,0.0,0.0,246.13741024104758,815.7960639999999,1932.1511583,285.2750255410472,0.0,-285.2750255410472
32,2,2868.327229,0.0,0.0,0.0,0.0,0.0,235.65172023270537,854.1262999999999,2063.831745,285.28253623270524,0.0,-285.28253623270524
33,2,2976.049454,0.0,0.0,0.0,0.0,0.0,360.20317769090553,859.952284,2041.1840429,285.2900505909054,0.0,-285.2900505909054
34,2,3004.401057,0.0,0.0,0.0,0.0,0.2031155766333086,400.0,877.509326,1993.3983481999999,266.709732776633,0.0,-266.709732776633
35,2,2985.125664,0.0,0.0,0.0,0.0,0.19501121070086924,400.0,884.6534059999999,1914.1444514,213.8672046107006,0.0,-213.8672046107006
