hour,day,total_cost,marginal_price,cost_NGCC 1,cost_NGCC 2,cost_NGCT 1,cost_NGCT 2,cost_Coal,cost_Hydro,cost_Wind,cost_PV
0,1,12151.942113926687,29.258141469999998,0,0,0,0,11551.942113926687,600.0,0.0,0
1,1,10898.147290482188,28.826427905823568,0,0,0,0,10298.147290482188,600.0,0.0,0
2,1,10879.30610825335,28.819891085239497,0,0,0,0,10279.30610825335,600.0,0.0,0
3,1,10878.013329211431,28.819442509948534,0,0,0,0,10278.013329211431,600.0,0.0,0
4,1,10883.81599353966,28.821455894364412,0,0,0,0,10283.81599353966,600.0,0.0,0
5,1,10379.698089777554,28.646011272000003,0,0,0,0,9779.698089777554,600.0,0.0,0.0
6,1,861.9593429689088,25.104565060151472,0,0,0,0,261.9593429689088,600.0,0.0,0.0
7,1,602.5767862381838,25.0010306932487,0,0,0,0,2.576786238183772,600.0,0.0,0.0
8,1,579.2708375032446,1.5,0,0,0,0,0.0,579.2708375032446,0.0,0.0
9,1,598.1779813768815,1.5,0,0,0,0,0.0,598.1779813768815,0.0,0.0
10,1,599.731232236597,1.5,0,0,0,0,0.0,599.731232236597,0.0,0.0
11,1,599.6783166369461,1.5,0,0,0,0,0.0,599.6783166369461,0.0,0.0
12,1,569.9743281148357,1.5,0,0,0,0,0.0,569.9743281148357,0.0,0.0
13,1,602.8405773377317,25.001136205115852,0,0,0,0,2.840577337731755,600.0,0.0,0.0
14,1,598.895228983636,1.5,0,0,0,0,0.0,598.895228983636,0.0,0.0
15,1,443.17110856987614,1.5,0,0,0,0,0.0,443.17110856987614,0.0,0.0
16,1,2662.316632557993,25.811747958074438,0,0,0,0,2062.316632557993,600.0,0.0,0.0
17,1,14281.424178316553,29.97713267753157,0,0,0,0,13681.424178316553,600.0,0.0,0.0
18,1,11189.725102083466,28.927400540692716,0,0,0,0,10589.725102083466,600.0,0.0,0
19,1,12045.170470872665,29.22162571482725,0,0,0,0,11445.170470872665,600.0,0.0,0
20,1,11464.59629594132,29.02226603693837,0,0,0,0,10864.59629594132,600.0,0.0,0
21,1,8737.169108005037,28.066766507029282,0,0,0,0,8137.169108005036,600.0,0.0,0
22,1,4586.943389062687,26.54691823510318,0,0,0,0,3986.943389062687,600.0,0.0,0
23,1,2666.5565712706725,25.81339054493643,0,0,0,0,2066.5565712706725,600.0,0.0,0
24,2,2148.5032513402334,25.61191256089253,0,0,0,0,1548.5032513402334,600.0,0.0,0
25,2,2648.07856642383,25.80623125,0,0,0,0,2048.07856642383,600.0,0.0,0
26,2,3270.9756325222797,26.04648753,0,0,0,0,2670.9756325222797,600.0,0.0,0
27,2,3728.1961507801575,26.22144014,0,0,0,0,3128.1961507801575,600.0,0.0,0
28,2,2151.027747101248,25.612898214415818,0,0,0,0,1551.0277471012482,600.0,0.0,0
29,2,3252.9733090312493,26.039575,0,0,0,0,2652.9733090312493,600.0,0.0,0.0
30,2,299.7468859216424,1.5,0,0,0,0,0.0,299.7468859216424,0.0,0.0
31,2,448.0197393472823,1.5,0,0,0,0,0.0,448.0197393472823,0.0,0.0
32,2,432.2932582474028,1.5,0,0,0,0,0.0,432.2932582474028,0.0,0.0
33,2,604.6410803680269,25.00185636322552,0,0,0,0,4.641080368026936,600.0,0.0,0.0
34,2,604.6745130892045,25.001869735317477,0,0,0,0,4.67451308920455,600.0,0.0,0.0
35,2,604.8221738071293,25.00192879511784,0,0,0,0,4.822173807129255,600.0,0.0,0.0
36,2,605.054820331374,25.002021846375293,0,0,0,0,5.054820331373949,600.0,0.0,0.0
37,2,605.521214305923,25.0022083881828,0,0,0,0,5.521214305922934,600.0,0.0,0.0
38,2,476.66843694132666,1.5,0,0,0,0,0.0,476.66843694132666,0.0,0.0
39,2,423.46729653501166,1.5,0,0,0,0,0.0,423.46729653501166,0.0,0.0
40,2,2084.4995279854834,25.586910531748643,0,0,0,0,1484.4995279854834,600.0,0.0,0.0
41,2,20260.7653121011,40.42683741953126,2860.7653121010985,0,0,0,16800.0,600.0,0.0,0.0
42,2,18763.52405700911,40.204008365884484,1363.5240570091087,0,0,0,16800.0,600.0,0.0,0
43,2,18172.596512383425,40.115722081854656,772.5965123834245,0,0,0,16800.0,600.0,0.0,0
44,2,16159.961856893557,30.59737304308772,0,0,0,0,15559.961856893557,600.0,0.0,0
45,2,10062.152490287128,28.53494436310929,0,0,0,0,9462.152490287128,600.0,0.0,0
46,2,4567.763492369901,26.539692346509934,0,0,0,0,3967.7634923699006,600.0,0.0,0
47,2,2080.358354133763,25.5852920069847,0,0,0,0,1480.358354133763,600.0,0.0,0
48,3,2174.7420457819962,25.622155274598583,0,0,0,0,1574.7420457819962,600.0,0.0,0
49,3,1118.19475286175,25.20642567,0,0,0,0,518.19475286175,600.0,0.0,0
50,3,1541.5863202234586,25.373839410000002,0,0,0,0,941.5863202234586,600.0,0.0,0
51,3,2052.6497542397206,25.57445982,0,0,0,0,1452.6497542397206,600.0,0.0,0
52,3,2376.9183102230386,25.700940959514707,0,0,0,0,1776.9183102230386,600.0,0.0,0
53,3,2377.3615198124266,25.701113407715404,0,0,0,0,1777.3615198124266,600.0,0.0,0.0
54,3,122.36645969999972,1.5,0,0,0,0,0.0,122.36645969999972,0.0,0.0
55,3,352.06898771795045,1.5,0,0,0,0,0.0,352.06898771795045,0.0,0.0
56,3,589.7378300027251,1.5,0,0,0,0,0.0,589.7378300027251,0.0,0.0
57,3,519.3418809635616,1.5,0,0,0,0,0.0,519.3418809635616,0.0,0.0
58,3,455.9237558944427,1.5,0,0,0,0,0.0,455.9237558944427,0.0,0.0
59,3,432.3454662298536,1.5,0,0,0,0,0.0,432.3454662298536,0.0,0.0
60,3,463.42632681260835,1.5,0,0,0,0,0.0,463.42632681260835,0.0,0.0
61,3,400.8748060285076,1.5,0,0,0,0,0.0,400.8748060285076,0.0,0.0
62,3,255.3456893648043,1.5,0,0,0,0,0.0,255.3456893648043,0.0,0.0
63,3,191.89135881413532,1.5,0,0,0,0,0.0,191.89135881413532,0.0,0.0
64,3,3339.2153413524907,26.072673565,0,0,0,0,2739.2153413524907,600.0,0.0,0.0
65,3,21790.829520870877,40.6532895870734,4390.829520870878,0,0,0,16800.0,600.0,0.0,0.0
66,3,21765.71084871675,40.64958216494483,4365.71084871675,0,0,0,16800.0,600.0,0.0,0
67,3,21791.36383341565,40.65336844593554,4391.3638334156485,0,0,0,16800.0,600.0,0.0,0
68,3,21814.58630607625,40.65679568870271,4414.58630607625,0,0,0,16800.0,600.0,0.0,0
69,3,22175.29798804891,40.709993562472924,4775.297988048911,0,0,0,16800.0,600.0,0.0,0
70,3,21779.981110454937,40.65168844372223,4379.981110454936,0,0,0,16800.0,600.0,0.0,0
71,3,21764.59885968228,40.64941803170357,4364.598859682277,0,0,0,16800.0,600.0,0.0,0
72,4,22750.06702028213,40.794617344,5350.067020282131,0,0,0,16800.0,600.0,0.0,0
73,4,22024.036526488628,40.687693942,4624.036526488629,0,0,0,16800.0,600.0,0.0,0
74,4,22108.61760424621,40.70016475704926,4708.617604246209,0,0,0,16800.0,600.0,0.0,0
75,4,22376.40763288839,40.7396231155206,4976.4076328883875,0,0,0,16800.0,600.0,0.0,0
76,4,22372.14884472435,40.73899589013814,4972.148844724351,0,0,0,16800.0,600.0,0.0,0
77,4,19663.6393579228,40.338116866,2263.6393579227997,0,0,0,16800.0,600.0,0.0,0.0
78,4,10207.718423858836,28.585912063063105,0,0,0,0,9607.718423858836,600.0,0.0,0.0
79,4,10208.798207071919,28.58628979321098,0,0,0,0,9608.798207071919,600.0,0.0,0.0
80,4,10209.155753754323,28.58641486921867,0,0,0,0,9609.155753754323,600.0,0.0,0.0
81,4,10208.80546422204,28.586292331892935,0,0,0,0,9608.80546422204,600.0,0.0,0.0
82,4,10208.608136012695,28.58622330284737,0,0,0,0,9608.608136012695,600.0,0.0,0.0
83,4,10208.651829893824,28.586238587786895,0,0,0,0,9608.651829893824,600.0,0.0,0.0
84,4,10208.81286520133,28.58629492088869,0,0,0,0,9608.81286520133,600.0,0.0,0.0
85,4,10209.07642449585,28.58638711852054,0,0,0,0,9609.07642449585,600.0,0.0,0.0
86,4,10208.024913132725,28.586019279757274,0,0,0,0,9608.024913132725,600.0,0.0,0.0
87,4,10209.30809252081,28.586468159785255,0,0,0,0,9609.30809252081,600.0,0.0,0.0
88,4,31779.557792487223,42.10171841516504,14379.557792487223,0,0,0,16800.0,600.0,0.0,0.0
