hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
0,1,1729.798967,0.0,0.0,0.0,0.0,425.81414699999993,400.0,667.11482,0.0,0,236.87,236.87
1,1,1619.461092,0.0,0.0,0.0,0.0,382.64279058235684,400.0,613.072878,0.0,0,223.74542341764325,223.74542341764325
2,1,1539.19394,0.0,0.0,0.0,0.0,381.9891085239496,400.0,577.009768,0.0,0,180.1950634760505,180.1950634760505
3,1,1480.840935,0.0,0.0,0.0,0.0,381.94425099485335,400.0,524.94497,0.0,0,173.95171400514658,173.95171400514658
4,1,1442.271664,0.0,0.0,0.0,0.0,382.14558943644136,400.0,472.405658,0.0,0,187.7204165635587,187.7204165635587
5,1,1432.063239,0.0,0.0,0.0,0.0,364.60112720000006,400.0,462.335402,205.12670980000001,0,0.0,0.0
6,1,1994.321497,0.0,0.0,0.0,0.0,10.45650601514739,400.0,434.022698,1183.5753701,33.73307711514757,0.0,-33.73307711514757
7,1,2305.690025,0.0,0.0,0.0,0.0,0.10306932487020504,400.0,331.263922,1756.0110702000002,181.68803652487063,0.0,-181.68803652487063
8,1,2418.139828,0.0,0.0,0.0,0.0,0.0,386.18055833549636,437.001594,1932.4646206999998,337.5069450354964,0.0,-337.5069450354964
9,1,2545.909201,0.0,0.0,0.0,0.0,0.0,398.785320917921,481.105092,2003.4988234999998,337.48003541792093,0.0,-337.48003541792093
10,1,2644.934163,0.0,0.0,0.0,0.0,0.0,399.82082149106463,552.994056,1991.3260090999997,299.2067235910645,0.0,-299.2067235910645
11,1,2637.683362,0.0,0.0,0.0,0.0,0.0,399.7855444246307,610.6739419999999,1953.3447406,326.1208650246304,0.0,-326.1208650246304
12,1,2588.378839,0.0,0.0,0.0,0.0,0.0,379.98288540989046,648.081512,1897.7137642999999,337.3993227098903,0.0,-337.3993227098903
13,1,2705.662509,0.0,0.0,0.0,0.0,0.11362051158513964,400.0,716.938854,1832.8965787999996,244.28654431158498,0.0,-244.28654431158498
14,1,2636.038183,0.0,0.0,0.0,0.0,0.0,399.26348598909067,814.50433,1759.6158947000001,337.34552768909066,0.0,-337.34552768909066
15,1,2461.321144,0.0,0.0,0.0,0.0,0.0,295.44740571325076,1000.2504379999999,1502.9419344999997,337.31863421325045,0.0,-337.31863421325045
16,1,2520.006882,0.0,0.0,0.0,0.0,81.1747958074437,400.0,1135.3289300000001,737.6219968,0,165.88115939255627,165.88115939255627
17,1,2519.470812,0.0,0.0,0.0,0.0,497.71326775315697,400.0,1337.155812,47.7856947,0,236.81603754684303,236.81603754684303
18,1,2469.754995,0.0,0.0,0.0,0.0,392.74005406927176,400.0,1440.23093,0.0,0,236.78401093072807,236.78401093072807
19,1,2476.026083,0.0,0.0,0.0,0.0,422.1625714827252,400.0,1417.1115240000001,0.0,0,236.75198751727487,236.75198751727487
20,1,2408.527549,0.0,0.0,0.0,0.0,402.226603693837,400.0,1369.580978,0.0,0,236.719967306163,236.719967306163
21,1,2242.928311,0.0,0.0,0.0,0.0,306.67665070292827,400.0,1299.56371,0.0,0,236.68795029707195,236.68795029707195
22,1,2045.964392,0.0,0.0,0.0,0.0,154.69182351031802,400.0,1254.616632,0.0,0,236.6559364896821,236.6559364896821
23,1,1855.257696,0.0,0.0,0.0,0.0,81.33905449364295,400.0,1210.3549639999999,0.0,0,163.56367750635707,163.56367750635707
24,2,1705.149016,0.0,0.0,0.0,0.0,61.191256089253216,400.0,1181.778638,0.0,0,62.17912191074688,62.17912191074688
25,2,1608.966147,0.0,0.0,0.0,0.0,80.62312500000007,400.0,1128.343022,0.0,0,0.0,0.0
26,2,1553.062425,0.0,0.0,0.0,0.0,104.64875300000017,400.0,1048.413672,0.0,0,0.0,0.0
27,2,1512.561456,0.0,0.0,0.0,0.0,122.14401399999986,400.0,990.417442,0.0,0,0.0,0.0
28,2,1510.509604,0.0,0.0,0.0,0.0,61.289821441581736,400.0,912.175254,0.0,0,137.04452855841836,137.04452855841836
29,2,1597.334365,0.0,0.0,0.0,0.0,103.95749999999998,400.0,872.2896639999999,221.087201,0,0.0,0.0
30,2,2210.643993,0.0,0.0,0.0,0.0,0.0,199.83125728109493,822.0174779999998,1298.7817353,109.98647758109458,0.0,-109.98647758109458
31,2,2708.809607,0.0,0.0,0.0,0.0,0.0,298.67982623152153,815.7960639999999,1932.1511583,337.8174415315212,0.0,-337.8174415315212
32,2,2868.327229,0.0,0.0,0.0,0.0,0.0,288.1955054982685,854.1262999999999,2063.831745,337.8263214982684,0.0,-337.8263214982684
33,2,2976.049454,0.0,0.0,0.0,0.0,0.18563632255222728,400.0,859.952284,2041.1840429,325.2725092225521,0.0,-325.2725092225521
