hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,t_hh,t_lh,t_hc,t_lc,mode,eff_com,eff_exp,power_milp,power_physical,power_mismatch
0,1,0,236.87,6930.3759699989,3.2217249968337063,0,1.0,1013.0785,768.3985190132544,309.67382656557436,240.2214801237557,dis,0.87,0.93,236.87,236.87,0.0
1,1,0,223.74542341764325,6449.781317406661,2.2778016433064527,0,0.9439233535272533,1013.0070071499999,768.3762929187983,309.6224451903997,240.22727297574335,dis,0.87,0.93,223.5871247500005,223.74542341764325,0.1582986676427538
2,1,0,180.1950634760505,5193.2021034775935,1.5204955988516864,0,0.7573060444547662,1012.9355214492849,768.3777344308512,309.46233051414174,240.2330652484458,dis,0.8699998963195689,0.9299980200586454,179.38308275000048,180.1950634760505,0.8119807260500238
3,1,0,173.95171400514658,5013.191421278331,0.7897366350740855,0,0.7307589637776009,1012.8640428971399,768.3736130067175,309.3204456717809,240.23885694192097,dis,0.8699998763333596,0.9299976311912822,173.0948757500003,173.95171400514658,0.8568382551462719
4,1,0,187.7204165635587,5410.3757064583215,0.0,0,0.7897366350740932,1012.7925714928502,768.3265906454168,309.3193286272137,240.2446480562268,dis,0.8699999464728303,0.9299987688628696,187.06491675000046,187.7204165635587,0.6554998135582366
5,1,0,0.0,0.0,0.0,0,0.0,1012.721107235701,768.2795729863523,309.31821169435096,240.2504385914212,idle,,,0.0,0.0,0.0
6,1,33.73307711514757,0.0,-846.854229116329,0.1,0.1,0.0,1019.6385075034433,768.2325600290536,309.31709487318153,237.67876843084767,char,0.8699111531804816,0.9299690858796453,-33.76481059008085,-33.73307711514757,0.03173347493327583
7,1,181.68803652487063,0.0,-4542.388177754382,0.6377935312728956,0.5377935312728956,0.0,1016.3253715472026,768.1855517730507,309.3159781636942,238.93660400007,char,0.8699923187174649,0.92999851782263,-181.58496720000042,-181.68803652487063,-0.10306932487020504
8,1,337.5069450354964,0.0,-506.2604175532446,1.6377935312728957,1.0,0.0,1014.1015111073684,768.1385482178734,309.3148615658778,239.7022600966357,char,0.87,0.93,-337.64810590080845,-337.5069450354964,0.1411608653120311
9,1,337.48003541792093,0.0,-506.2200531268814,2.6377935312728957,1.0,0.0,1013.5134073936521,768.0915493630516,309.3137450797212,239.88951646124494,char,0.87,0.93,-337.64810590080845,-337.48003541792093,0.16807048288751503
10,1,299.2067235910645,0.0,-448.8100853865967,3.524473766902445,0.8866802356295492,0.0,1013.3802448375419,768.0445552081153,309.31262870521317,239.91487357134633,char,0.87,0.93,-299.38590209999984,-299.2067235910645,0.17917850893536524
11,1,326.1208650246304,0.0,-489.18129753694564,4.4909691059755685,0.9664953390731233,0.0,1013.18138783979,767.9975657525945,309.31151244234263,239.96449379661118,char,0.87,0.93,-326.3353205999997,-326.1208650246304,0.21445557536929982
12,1,337.3993227098903,0.0,-506.09898406483546,5.4909691059755685,1.0,0.0,1012.9957314513501,767.9505809960192,309.3103962910984,240.0096078689122,char,0.87,0.93,-337.64810590080845,-337.3993227098903,0.24878319091811818
13,1,244.28654431158498,0.0,-6107.441167411005,6.214127090672604,0.7231579846970354,0.0,1013.0784637880694,767.9036009379196,309.3092802514693,239.96507595287667,char,0.869996294320817,0.9299989456126212,-244.17292379999984,-244.28654431158498,-0.11362051158513964
14,1,337.34552768909066,0.0,-506.018291533636,7.214127090672604,1.0,0.0,1012.917313386931,767.8566255778258,309.30816432344415,240.00067253496618,char,0.87,0.93,-337.64810590080845,-337.34552768909066,0.30257821171778687
15,1,337.31863421325045,0.0,-505.9779513198757,8.214127090672605,1.0,0.0,1012.7792308095453,767.809654915268,309.3070485070118,240.02828493803506,char,0.87,0.93,-337.64810590080845,-337.31863421325045,0.32947168755799794
