hour,day,total_cost,marginal_price,cost_NGCC 1,cost_NGCC 2,cost_NGCT 1,cost_NGCT 2,cost_Coal,cost_Hydro,cost_Wind,cost_PV
0,1,12774.712737734857,29.47022658132606,0,0,0,0,12174.712737734857,600.0,0.0,0
1,1,11181.273185628343,28.9244786247318,0,0,0,0,10581.273185628343,600.0,0.0,0
2,1,10369.554970454512,28.642470204385134,0,0,0,0,9769.554970454512,600.0,0.0,0
3,1,10350.543237781629,28.635831832786568,0,0,0,0,9750.543237781629,600.0,0.0,0
4,1,10334.051803399676,28.630072233020886,0,0,0,0,9734.051803399676,600.0,0.0,0
5,1,10379.698089777554,28.646011272000003,0,0,0,0,9779.698089777554,600.0,0.0,0.0
6,1,616.2438408360176,25.00649669219422,0,0,0,0,16.24384083601757,600.0,0.0,0.0
7,1,599.908862029549,1.5,0,0,0,0,0.0,599.908862029549,0.0,0.0
8,1,600.8664532228956,25.00034657888682,0,0,0,0,0.8664532228956658,600.0,0.0,0.0
9,1,599.9848334334979,1.5,0,0,0,0,0.0,599.9848334334979,0.0,0.0
10,1,601.0292296387029,25.000411688465732,0,0,0,0,1.0292296387028348,600.0,0.0,0.0
11,1,600.5391974920832,25.000215678066493,0,0,0,0,0.539197492083239,600.0,0.0,0.0
12,1,599.9039919250924,1.5,0,0,0,0,0.0,599.9039919250924,0.0,0.0
13,1,601.3066435962373,25.000522651975192,0,0,0,0,1.3066435962373202,600.0,0.0,0.0
14,1,599.9190270878901,1.5,0,0,0,0,0.0,599.9190270878901,0.0,0.0
15,1,474.25544044519086,1.5,0,0,0,0,0.0,474.25544044519086,0.0,0.0
16,1,1411.9344644507223,25.32269119365109,0,0,0,0,811.9344644507223,600.0,0.0,0.0
17,1,14553.48137650863,30.06775062305414,0,0,0,0,13953.48137650863,600.0,0.0,0.0
18,1,11498.204414688824,29.033843842897834,0,0,0,0,10898.204414688824,600.0,0.0,0
19,1,12340.911459255924,29.322657266781235,0,0,0,0,11740.911459255924,600.0,0.0,0
20,1,11767.979977430576,29.126613252292337,0,0,0,0,11167.979977430576,600.0,0.0,0
21,1,9077.820765595721,28.18787709835408,0,0,0,0,8477.820765595721,600.0,0.0,0
22,1,4991.568828190615,26.698902160272663,0,0,0,0,4391.568828190615,600.0,0.0,0
23,1,1406.761456301872,25.3206482761804,0,0,0,0,806.761456301872,600.0,0.0,0
24,2,2827.0547080356337,25.875492153014456,0,0,0,0,2227.0547080356337,600.0,0.0,0
25,2,2648.07856642383,25.80623125,0,0,0,0,2048.07856642383,600.0,0.0,0
26,2,3270.9756325222797,26.04648753,0,0,0,0,2670.9756325222797,600.0,0.0,0
27,2,2829.1505533926957,25.876302113475447,0,0,0,0,2229.1505533926957,600.0,0.0,0
28,2,3012.7577770108132,25.94716083775287,0,0,0,0,2412.7577770108132,600.0,0.0,0
29,2,3252.97330903125,26.039575,0,0,0,0,2652.97330903125,600.0,0.0,0.0
30,2,461.6991756956736,1.5,0,0,0,0,0.0,461.6991756956736,0.0,0.0
31,2,476.35432352653135,1.5,0,0,0,0,0.0,476.35432352653135,0.0,0.0
32,2,461.000142407309,1.5,0,0,0,0,0.0,461.000142407309,0.0,0.0
33,2,599.9713050245507,1.5,0,0,0,0,0.0,599.9713050245507,0.0,0.0
34,2,600.8548184436521,25.000341925039205,0,0,0,0,0.8548184436521636,600.0,0.0,0.0
35,2,599.7194056221047,1.5,0,0,0,0,0.0,599.7194056221047,0.0,0.0
36,2,599.6327208345058,1.5,0,0,0,0,0.0,599.6327208345058,0.0,0.0
37,2,600.6895532531213,25.000275819779716,0,0,0,0,0.6895532531212801,600.0,0.0,0.0
38,2,506.30639778269466,1.5,0,0,0,0,0.0,506.30639778269466,0.0,0.0
39,2,453.2700003165736,1.5,0,0,0,0,0.0,453.2700003165736,0.0,0.0
40,2,1510.8387169905718,25.361718678745166,0,0,0,0,910.8387169905717,600.0,0.0,0.0
41,2,20101.46958677625,40.40318842667389,2701.46958677625,0,0,0,16800.0,600.0,0.0,0.0
42,2,18608.993245144193,40.18093974687165,1208.9932451441925,0,0,0,16800.0,600.0,0.0,0
43,2,18022.823546024363,40.09331468651965,622.8235460243623,0,0,0,16800.0,600.0,0.0,0
44,2,16280.902103594297,30.63687389522446,0,0,0,0,15680.902103594297,600.0,0.0,0
45,2,10269.963324447524,28.60767845332701,0,0,0,0,9669.963324447524,600.0,0.0,0
46,2,4870.334224109969,26.653455394792612,0,0,0,0,4270.334224109969,600.0,0.0,0
47,2,1421.2778808659496,25.326380665569232,0,0,0,0,821.2778808659494,600.0,0.0,0
48,3,2037.513617151108,25.568540676836097,0,0,0,0,1437.513617151108,600.0,0.0,0
49,3,1118.19475286175,25.20642567,0,0,0,0,518.19475286175,600.0,0.0,0
50,3,1541.5863202234586,25.373839410000002,0,0,0,0,941.5863202234586,600.0,0.0,0
51,3,2052.6497542397206,25.57445982,0,0,0,0,1452.6497542397206,600.0,0.0,0
52,3,2273.222138756188,25.660562012066762,0,0,0,0,1673.222138756188,600.0,0.0,0
53,3,2277.095862611977,25.66207156977471,0,0,0,0,1677.0958626119768,600.0,0.0,0.0
54,3,599.9255602584847,1.5,0,0,0,0,0.0,599.9255602584847,0.0,0.0
55,3,472.34919179100865,1.5,0,0,0,0,0.0,472.34919179100865,0.0,0.0
56,3,82.88468294999961,1.5,0,0,0,0,0.0,82.88468294999961,0.0,0.0
57,3,558.5196120795649,1.5,0,0,0,0,0.0,558.5196120795649,0.0,0.0
58,3,495.41655079025145,1.5,0,0,0,0,0.0,495.41655079025145,0.0,0.0
59,3,471.9496130465992,1.5,0,0,0,0,0.0,471.9496130465992,0.0,0.0
60,3,503.1615182512801,1.5,0,0,0,0,0.0,503.1615182512801,0.0,0.0
61,3,440.80513510693544,1.5,0,0,0,0,0.0,440.80513510693544,0.0,0.0
62,3,295.41132240795406,1.5,0,0,0,0,0.0,295.41132240795406,0.0,0.0
63,3,232.47660966935732,1.5,0,0,0,0,0.0,232.47660966935732,0.0,0.0
64,3,3339.2153413524907,26.072673565,0,0,0,0,2739.2153413524907,600.0,0.0,0.0
65,3,23941.81629864087,40.96952276490038,6541.816298640873,0,0,0,16800.0,600.0,0.0,0.0
66,3,23587.659375068488,40.91762349527184,6187.659375068489,0,0,0,16800.0,600.0,0.0,0
67,3,23935.91654937469,40.96865873558099,6535.9165493746905,0,0,0,16800.0,600.0,0.0,0
68,3,24122.21618868915,40.99593387476702,6722.216188689151,0,0,0,16800.0,600.0,0.0,0
69,3,24235.029879807167,41.01244150934794,6835.029879807166,0,0,0,16800.0,600.0,0.0,0
70,3,23782.95908250274,40.946251464450725,6382.959082502739,0,0,0,16800.0,600.0,0.0,0
71,3,23158.234463209654,40.85460578146014,5758.234463209655,0,0,0,16800.0,600.0,0.0,0
72,4,22750.067020282127,40.794617344,5350.0670202821275,0,0,0,16800.0,600.0,0.0,0
73,4,22024.036526488628,40.687693942,4624.036526488628,0,0,0,16800.0,600.0,0.0,0
74,4,23099.595455260063,40.845993016,5699.595455260064,0,0,0,16800.0,600.0,0.0,0
75,4,24295.340339780047,41.021263804,6895.340339780047,0,0,0,16800.0,600.0,0.0,0
76,4,24234.12690559552,41.01230940665432,6834.126905595521,0,0,0,16800.0,600.0,0.0,0
77,4,19663.639357922795,40.338116866,2263.6393579227956,0,0,0,16800.0,600.0,0.0,0.0
78,4,8181.070067700285,27.86792782669723,0,0,0,0,7581.070067700285,600.0,0.0,0.0
79,4,7927.267691422326,27.776705237094742,0,0,0,0,7327.267691422326,600.0,0.0,0.0
80,4,7897.838898145385,27.766108441099696,0,0,0,0,7297.838898145385,600.0,0.0,0.0
81,4,8010.049683302832,27.80649193382827,0,0,0,0,7410.049683302832,600.0,0.0,0.0
82,4,8103.12343507436,27.839943762541747,0,0,0,0,7503.12343507436,600.0,0.0,0.0
83,4,8125.86738290983,27.848112102226906,0,0,0,0,7525.86738290983,600.0,0.0,0.0
84,4,8117.294868566905,27.845033621300193,0,0,0,0,7517.294868566905,600.0,0.0,0.0
85,4,8092.159350782573,27.836005227324762,0,0,0,0,7492.159350782573,600.0,0.0,0.0
86,4,8291.175567898492,27.907409613899492,0,0,0,0,7691.175567898493,600.0,0.0,0.0
87,4,8106.76070303426,27.841250224454456,0,0,0,0,7506.76070303426,600.0,0.0,0.0
88,4,31569.149031001496,42.07172195634519,14169.149031001496,0,0,0,16800.0,600.0,0.0,0.0
89,4,80123.90037171825,73.27945146788672,20750.0,18480.0,23493.900371718242,0,16800.0,600.0,0.0,0.0
90,4,69146.82136844173,71.76584443430478,20750.0,18480.0,12516.82136844173,0,16800.0,600.0,0.0,0
91,4,70819.30779151295,71.9985149557285,20750.0,18480.0,14189.30779151296,0,16800.0,600.0,0.0,0
92,4,67097.85106618464,71.47976651699202,20750.0,18480.0,10467.85106618463,0,16800.0,600.0,0.0,0
93,4,55392.13524291123,47.24304840836305,20750.0,17242.13524291123,0,0,16800.0,600.0,0.0,0
94,4,46149.33998034639,46.05422977061018,20750.0,7999.339980346389,0,0,16800.0,600.0,0.0,0
