hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,charge_beta_norm,discharge_beta_norm,eff_ex,eff_com,eff_exp,t_hh,t_lh,t_hc,t_lc,n,p_exp,alpha_com,alpha_exp,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error
0,1,0.0,215.661488867394,6355.592941788229,3.949110026637629,0,1.050889973362371,0,1.061672307325333,0.7951198899314059,0.8579860710245362,0.9247391813350118,1013.0785,765.9522078797726,309.84959441429254,240.2214801237557,1.0,1.0,11.75043362726862,-1.8012505253782827,0,0,0,0,0,0
1,1,0.0,213.94035152681997,6188.113124705112,2.906740526831145,0,1.0423694998064843,0,1.061203472098285,0.7958729669964519,0.8586795998394766,0.9246558927760054,1013.0070071499999,764.2167149206011,309.9622845087378,240.22727297574335,1.0,1.0,11.38740665851461,-2.2539342413438916,0,0,0,0,0,0
2,1,0.0,197.93715156148673,5669.408965940748,1.9433831842630032,0,0.9633573425681419,0,1.0611494038044846,0.797671946656158,0.8596372583435515,0.9242004164351659,1012.9355214492849,763.0371880535038,309.9819977516729,240.2330652484458,1.0,0.9411596122123088,10.739092043191034,-3.263190461109602,0,0,0,0,0,0
3,1,0.0,192.3127817213431,5507.036476667771,1.0077312473441633,0,0.9356519369188399,0,1.0611614638371105,0.7982889966437556,0.8596666239668277,0.9242020012727283,1012.8640428971399,762.129347835065,309.978904369697,240.23885694192097,1.0,0.9141134822868757,10.72411330298948,-3.2570393465061365,0,0,0,0,0,0
4,1,0.0,206.85878269791144,5922.381890675975,0.0,0,1.0077312473441633,0,1.0652550294665566,0.8184643852132982,0.8580615081421362,0.9234901030787517,1012.7925714928502,762.0829499002815,309.97772147925997,240.2446480562268,1.0,0.9820117825560245,11.541585413956668,-3.4221542282488464,0,0,0,0,0,0
5,1,-0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.9998465643636673,,,1012.721107235701,762.0365566052915,309.976538707112,240.2504385914212,,,,,0,0,0,0,0,0
6,1,23.926240319421865,0.0,-598.3114494042668,0.08363455352465818,0.08363455352465818,0.0,0.9908167476679614,0.0,0.8607219967712096,0.8461915246117713,0.9232462035014596,1013.0785528972724,761.990167949631,309.9753560532413,239.06271129265596,0.9947784217616942,0.1,-4.906248219491783,-8.953526764538474,0,0,0,0,0,0
7,1,181.524208553033,0.0,-272.2863128295495,0.7102865598670683,0.6266520063424101,0.0,1.0135687786912253,0.0,0.8657690087554629,0.8698985784282941,0.9296137932730787,1013.070120427851,761.943783932836,309.97417351763596,238.43960665796902,1.0,0.6219551974038819,1.0254470067554644,-0.8569711825093975,0,0,0,0,0,0
8,1,351.361044588682,0.0,-8784.147889036754,1.894460477232497,1.1841739173654287,0.0,1.0112884849914645,0.0,0.8429673801721411,0.857037132774342,0.9064811290448466,1013.0485650658749,761.8974045544427,309.97299110028416,240.14283712717813,1.0,1.0,8.637970481481073,16.683952151791203,0,0,0,0,0,0
9,1,338.6846034556651,0.0,-508.02690518349766,3.042834248193084,1.1483737709605866,0.0,1.0136232084135188,0.0,0.8494295862705159,0.8609214783253994,0.9197740508436077,1013.0153822812578,761.8510298139872,309.9718088011741,240.10404287972145,1.0,1.0,7.235953713785115,10.876913240645774,0,0,0,0,0,0
