hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
0,1,1729.798967,0.0,0.0,0.0,0.0,446.79991200380215,400.0,667.11482,0.0,0.0,215.88423499619773,215.88423499619773
1,1,1619.461092,0.0,0.0,0.0,0.0,392.19645262847644,400.0,613.072878,0.0,0.0,214.1917613715237,214.1917613715237
2,1,1539.19394,0.0,0.0,0.0,0.0,364.26942396250155,400.0,577.009768,0.0,0.0,197.91474803749836,197.91474803749836
3,1,1480.840935,0.0,0.0,0.0,0.0,364.20354154050244,400.0,524.94497,0.0,0.0,191.69242345949755,191.69242345949755
4,1,1442.271664,0.0,0.0,0.0,0.0,362.8417002185078,400.0,472.405658,0.0,0.0,207.02430578149207,207.02430578149207
5,1,1432.063239,0.0,0.0,0.0,0.0,364.60112720000006,400.0,462.335402,205.12670980000001,-0.0,0.0,0.0
6,1,1994.321497,0.0,0.0,0.0,0.0,0.6400160673849731,400.0,434.022698,1183.5753701,23.91658716738524,0.0,-23.91658716738524
7,1,2305.690025,0.0,0.0,0.0,0.0,0.0,399.9784781047647,331.263922,1756.0110702000002,181.56344530476514,0.0,-181.56344530476514
8,1,2418.139828,0.0,0.0,0.0,0.0,0.0957946041185096,400.0,437.001594,1932.4646206999998,351.42218130411834,0.0,-351.42218130411834
9,1,2545.909201,0.0,0.0,0.0,0.0,0.0,399.85791319017835,481.105092,2003.4988234999998,338.55262769017827,0.0,-338.55262769017827
10,1,2644.934163,0.0,0.0,0.0,0.0,0.018590770867831452,400.0,552.994056,1991.3260090999997,299.40449287086784,0.0,-299.40449287086784
11,1,2637.683362,0.0,0.0,0.0,0.0,0.0,399.9589950682889,610.6739419999999,1953.3447406,326.29431566828856,0.0,-326.29431566828856
12,1,2588.378839,0.0,0.0,0.0,0.0,0.013250054437321523,400.0,648.081512,1897.7137642999999,357.429687354437,0.0,-357.429687354437
13,1,2705.662509,0.0,0.0,0.0,0.0,0.08987919708079062,400.0,716.938854,1832.8965787999996,244.26280299708063,0.0,-244.26280299708063
14,1,2636.038183,0.0,0.0,0.0,0.0,0.008517102461610193,400.0,814.50433,1759.6158947000001,338.0905588024618,0.0,-338.0905588024618
15,1,2461.321144,0.0,0.0,0.0,0.0,0.0,316.1074054921436,1000.2504379999999,1502.9419344999997,357.97863399214276,0.0,-357.97863399214276
16,1,2520.006882,0.0,0.0,0.0,0.0,31.037426015058216,400.0,1135.3289300000001,737.6219968,0.0,216.01852918494214,216.01852918494214
17,1,2519.470812,0.0,0.0,0.0,0.0,506.10310421341865,400.0,1337.155812,47.7856947,0.0,228.4262010865815,228.4262010865815
18,1,2469.754995,0.0,0.0,0.0,0.0,402.72618625696776,400.0,1440.23093,0.0,0.0,226.79787874303204,226.79787874303204
19,1,2476.026083,0.0,0.0,0.0,0.0,431.6104575904408,400.0,1417.1115240000001,0.0,0.0,227.30410140955948,227.30410140955948
20,1,2408.527549,0.0,0.0,0.0,0.0,412.00598549766966,400.0,1369.580978,0.0,0.0,226.94058550233055,226.94058550233055
21,1,2242.928311,0.0,0.0,0.0,0.0,318.12202421849537,400.0,1299.56371,0.0,0.0,225.24257678150488,225.24257678150488
