hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,charge_beta_norm,discharge_beta_norm,eff_ex,eff_com,eff_exp,t_hh,t_lh,t_hc,t_lc,n,p_exp,alpha_com,alpha_exp,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error
0,1,0.0,215.88423499619773,6361.676446898036,3.9480009451031703,0,1.0519990548968299,0,1.0621420911063852,0.7948386101118993,0.8577497088880902,0.9246777653310667,1013.0785,765.9330671257098,309.8521920917796,240.2214801237557,1.0,1.0,11.865916528131205,-1.7720709737820428,0,0,0,0,0,0
1,1,0.0,214.1917613715237,6194.84652420966,2.904384615929702,0,1.043616329173468,0,1.0614568000464115,0.7957012990589503,0.8585212014089815,0.9246376794147961,1013.0070071499999,764.1903573739002,309.9663193059736,240.22727297574335,1.0,1.0,11.470884928133929,-2.2018734977088137,0,0,0,0,0,0
2,1,0.0,197.91474803749836,5668.811613550491,1.941164349764938,0,0.9632202661647642,0,1.0610700251975893,0.7977139608021021,0.8596274823838996,0.9242486557125705,1012.9355214492849,763.0152613261279,309.98533830008853,240.2330652484458,1.0,0.9399747271179337,10.759674871404101,-3.195275042710225,0,0,0,0,0,0
3,1,0.0,191.69242345949755,5490.461181591746,1.0085864516695058,0,0.9325778980954322,0,1.0610803702492868,0.7983873754973354,0.8596899916977485,0.9242252847767847,1012.8640428971399,762.1146622181769,309.9797796396736,240.23885694192097,1.0,0.9108804405197249,10.715920441165894,-3.2361279288856544,0,0,0,0,0,0
4,1,0.0,207.02430578149207,5926.77815550043,0.0,0,1.0085864516695058,0,1.065637074852,0.8183836706551199,0.8579601781722808,0.9233827285951445,1012.7925714928502,762.0682657519551,309.9785966617096,240.2446480562268,1.0,0.9838718452127531,11.574405312773672,-3.5054036161419866,0,0,0,0,0,0
5,1,-0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.9998465636618499,,,1012.721107235701,762.0218739253799,309.97741380204343,240.2504385914212,,,,,0,0,0,0,0,0
6,1,23.91658716738524,0.0,-598.0677491852724,0.08358657484544384,0.08358657484544384,0.0,0.9906124734748203,0.0,0.8605879536298773,0.8458071005581186,0.9232255093294858,1013.0785587234249,761.9754867379874,309.9762310606632,239.08152843368916,0.9944411115033139,0.1,-4.812702930667134,-8.967952526577378,0,0,0,0,0,0
7,1,181.56344530476514,0.0,-272.34516795714774,0.7103367088133987,0.6267501339679549,0.0,1.0136107051931909,0.0,0.8657665940499487,0.8698977261446614,0.9296114748048041,1013.070160983986,761.9291041893135,309.9750484375571,238.43903561889502,1.0,0.6220412594844493,1.0302052318287735,-0.8594300519147353,0,0,0,0,0,0
8,1,351.42218130411834,0.0,-8785.891176090325,1.894628012192166,1.1842913033787672,0.0,1.01131848128369,0.0,0.8429475716323813,0.8570199437481645,0.90644173640347,1013.0485800746825,761.8827262788946,309.97386593271335,240.1428912914355,1.0,1.0,8.645535605893851,16.697641696442396,0,0,0,0,0,0
9,1,338.55262769017827,0.0,-507.8289415352674,3.0425578862182094,1.1479298740260435,0.0,1.013686876307056,0.0,0.8494915470486734,0.8609634024357804,0.9198857377509576,1013.0153813693244,761.8363530062667,309.9726835461201,240.09904857041207,1.0,1.0,7.2216400273602765,10.81373868342363,0,0,0,0,0,0
10,1,299.40449287086784,0.0,-7485.167983374934,4.06582769564046,1.0232698094222508,0.0,1.0180869790665388,0.0,0.8575630509369286,0.8693673386647155,0.9294301485628927,1012.9777787084349,761.7899843709661,309.97150127776547,239.77508989075017,1.0,1.0,2.556267082924313,-0.12478745860057217,0,0,0,0,0,0
11,1,326.29431566828856,0.0,-489.4414735024328,5.175946330621725,1.1101186349812644,0.0,1.0158609185000353,0.0,0.8531497378823902,0.8644445739586585,0.9258516277160124,1012.9432378192831,761.743620372529,309.9703191276377,239.6938501295126,1.0,1.0,5.776971718330182,6.657565430200744,0,0,0,0,0,0
12,1,357.429687354437,0.0,-8935.789543489076,6.374081643946565,1.1981353133248398,0.0,1.0107785226488235,0.0,0.8376343393838958,0.8552258174166718,0.8947669896980448,1012.9106317229054,761.6972610104917,309.96913709572493,240.1312253893141,0.9995093485937856,1.0,9.387293783724292,20.45427250734115,0,0,0,0,0,0
13,1,244.26280299708063,0.0,-6106.789616373117,7.211922333472966,0.8378406895264014,0.0,1.016731235879745,0.0,0.860537928551083,0.8697487094591484,0.9294268651421432,1012.8669638114045,761.6509062843907,309.9679551820154,239.95271066641007,1.0,0.8308155843718505,1.6851756208811963,-1.005202697185851,0,0,0,0,0,0
14,1,338.0905588024618,0.0,-8452.29276558085,8.357644729506491,1.1457223960335259,0.0,1.014420315278207,0.0,0.84930108193961,0.8611379621964094,0.9205335580756946,1012.8342996816343,761.6045561937622,309.96677338649715,239.95169944619138,1.0,1.0,7.183822294046638,10.429501859421432,0,0,0,0,0,0
15,1,357.97863399214276,0.0,-536.9679509882142,9.556684824996712,1.1990400954902194,0.0,1.011026339760815,0.0,0.8370781840213019,0.8550118210131428,0.8942078962474436,1012.8024262051212,761.5582107381427,309.9655917091585,240.21542003376493,0.9992157725414734,1.0,9.542993473864737,20.611290514190735,0,0,0,0,0,0
16,1,0.0,216.01852918494214,5467.509820798146,8.503332926198556,0,1.0533518987981545,0,1.0623073258275735,0.7943434631095124,0.8575970227165607,0.9246658651329805,1012.7309609625006,756.1681427371864,310.48649907074577,240.22121349176157,1.0,1.0,11.939965727965497,-1.7276006987436858,0,0,0,0,0,0
