mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1013.0785,768.3985190132544,309.67382656557436,240.2214801237557,0.0,0.9998519662490114,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,0,0,0
idle,0.0,0.0,0.0,1013.0070071499999,768.351494161353,309.6726741829178,240.22727297574335,0.0,0.9998519642372768,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,1,1,1
idle,0.0,0.0,0.0,1012.9355214492849,768.3044740119368,309.67152191549945,240.2330652484458,0.0,0.9998519622255028,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,2,2,2
idle,0.0,0.0,0.0,1012.8640428971399,768.2574585645356,309.6703697633079,240.23885694192097,0.0,0.9998519602136898,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,3,3,3
idle,0.0,0.0,0.0,1012.7925714928502,768.2104478186791,309.66921772633157,240.2446480562268,0.0,0.999851958201837,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,4,4,4
idle,0.0,0.0,0.0,1012.721107235701,768.1634417738973,309.6680658045589,240.2504385914212,0.0,0.9998519561899454,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,5,5,5
idle,0.0,0.0,0.0,1012.6496501249774,768.1164404297199,309.66691399797844,240.25622854756207,0.0,0.9998519541780139,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,6,6,6
idle,0.0,0.0,0.0,1012.5782001599649,768.0694437856769,309.66576230657864,240.26201792470732,0.0,0.9998519521660438,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,7,7,7
char,1.0167240414934307,1.0011219718879678,-290.4052251154441,1012.603377822889,768.0224518412983,309.664610730348,240.24978045716085,-10342.485879156924,0.8572357029706847,0.8698665462936969,0.9299081296310314,6.016724041493431,0,0,0,0,0,0,1.0,1.0,0.7263153743751305,1.0344247706932777,1,Day_1,8,8,8
char,1.012582014161013,1.0012415841474642,-289.23991326296584,1012.6106713113309,767.9754645961142,309.66345926927494,240.23896014684325,-10383.727348136137,0.8572293785554326,0.8699220336484266,0.9299519009825301,7.029306055654444,0,0,0,0,0,0,1.0,1.0,0.5823685130447176,0.7354588465647716,1,Day_1,9,9,9
