mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1012.0412823761931,752.9317102218166,310.6531197373235,237.42149499732997,0.0,0.9998461234029878,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,120,120,0
idle,0.0,0.0,0.0,1011.9698932479555,752.8862320507944,310.65186942534973,237.42756784783026,0.0,0.9998461212210298,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,121,121,1
idle,0.0,0.0,0.0,1011.8985112586307,752.8407584275893,310.65061923840716,237.4336400910455,0.0,0.9998461190390727,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,122,122,2
idle,0.0,0.0,0.0,1011.8271364075049,752.7952893517465,310.64936917648333,237.4397117270364,0.0,0.9998461168571149,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,123,123,3
idle,0.0,0.0,0.0,1011.7557686938642,752.7498248228113,310.6481192395657,237.44578275586372,0.0,0.9998461146751572,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,124,124,4
idle,0.0,0.0,0.0,1011.6844081169947,752.704364840329,310.6468694276417,237.45185317758813,0.0,0.9998461124931991,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,125,125,5
idle,0.0,0.0,0.0,1011.6130546761831,752.658909403845,310.6456197406989,237.4579229922704,0.0,0.999846110311241,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,126,126,6
char,1.1753592024567594,1.036032897522572,-359.3402301733254,1013.0785032747365,752.6134585129046,310.64437017872484,238.32137758069092,-7213.4892089591785,0.8481766186790207,0.8555586124668008,0.9194840394297437,1.1753592024567594,0,0,0,0,0,0,1.0,1.0,10.13121506121597,10.017523778260554,6,Day_6,127,127,7
char,1.1663085324197955,1.0368199317869087,-356.2779577339958,1013.0426203048637,752.5680121670533,310.643120741707,238.2311094542035,-7410.321437957967,0.8491085117287008,0.8566246737149641,0.9210692292680094,2.341667734876555,0,0,0,0,0,0,1.0,1.0,9.806170706270322,8.961570708004615,6,Day_6,128,128,8
char,1.1280010324776981,1.0394937172602807,-343.5102406536837,1013.0060528418496,752.5225703658366,310.6418714296328,238.01977957080797,-7879.7367540235655,0.8523923882565301,0.8607941514172918,0.9252027431382285,3.469668767354253,0,0,0,0,0,0,1.0,1.0,8.42383758119054,5.2010205381593515,6,Day_6,129,129,9
